Material,Magnetic Entropy Change,Magnetic Field,Curie Temperature,source,Number
LaFe11.5Si1.5H1.3,17,5 T,288,66,4037
La1-xPrxFe11.5Si1.5,29.4,5 T,,68,3798
LaFe11.5Si1.5,23,5 T,,68,4015
ErCuAl,22.9,0-5 T,,69,1009
HoCuAl,23.9,0-5 T,,69,2470
La0.8Ce0.2Fe11.5Al0.8Si0.7,-11.7,2 T,,71,3660
La0.8Ce0.2Fe11.5Al0.9Si0.6,-5.8,2 T,,71,3661
La0.8Ce0.2Fe11.5Al1.0Si0.5,-4.8,2 T,,71,3662
La0.8Ce0.2Fe11.5Al1.1Si0.4,-9.6,2 T,,71,3663
Ni42.8Mn40.3Co5.7Sn11.2,45.6,nan kOe,,73,5176
La0.85Eu0.05Sr0.1MnO3,2.53,7 T,,74,3578
La0.9Sr0.1MnO3,2.76,7 T,,74,3784
Pr0.50Sr0.50MnO3,7.1,1 T,,75,5683
Ni42Co2Mn45Sn11,6.2,10 kOe,310,76,5178
Ni43Co1Mn45Sn11,14.1,10 kOe,335,76,5195
Ni44Co0Mn45Sn11,10.1,10 kOe,380,76,5250
La0.6Sr0.2Ba0.2MnO3,2.26,"10, 50 kOe",354,77,3171
Nd0.5ST0.5MnO3,7.5,10 kOe,,78,4816
La0.57Nd0.1Sr0.13Ag0.2MnO3,1.51,2 T,,79,2768
Ni-47 Mn-32 Ga-21,-1.45,,365,80,4988
LaFe11.4Si1.6,19,5.0 T,209,81,3981
La1.275Y0.025Sr1.7Mn2O7,-3.82,6 T,,83,3810
La1.3Sr1.7Mn2O7,-4.81,6 T,,83,3831
(La0.6Gd0.4)(0.67)Sr0.33MnO3,3.2,,,84,144
La(Fe0.92Co0.08)11.9Si1.1,,,301,86,2636
La(Fe0.94Co0.06)11.9Si1.1,,,274,86,2641
La(Fe0.96Co0.04)11.9Si1.1,,,243,86,2647
Zinc-ferrite nanoparticles,0.2,20 kOe,,87,6468
La1-xTbx(4/3)Sr5/3Mn2O7 (x = 0),4.6,7 T,,88,3800
La1-xTbx(4/3)Sr5/3Mn2O7 (x = 0.025),4.18,7 T,,88,3801
(La0.56Ce0.14)Sr0.3MnO3,1.55,5 T,357,90,129
CuCr2Se4,,nan T,430,91,642
SmMn2Ge2,0.65(J/mol K),nan T,,92,6084
SmMn2Ge2,0.53(J/mol K),nan T,,92,6085
Ni50Mn18 75Cu6 25-4PbGa25,3,,,95,5446
Ni50Mn18 75Cu6 25-5PbGa25,1.5,,,95,5448
La0.6Sr0.2Ba0.2MnO3,2.26,10 kOe,354,96,3173
La0.7Ca0.2Sr0.1MnO3 Single Crystal,7.45,50 kOe,,97,3322
Pr1.4Sr1.6Mn2O7 compound,2.43 / 5.06,2 / 5 T,265,98,5903
La(Fe0.88Si0.12)13,-23,nan T,336,101,2623
La(Fe0.88Si0.12)13H-1.0,,nan T,274,101,2624
Ni45.7Co4.2Mn37.3Sb12.8,27.4,5 T,,103,5269
La0.8Ca0.2MnO3,7.25,5 T,,105,3630
Ba1.9La0.1FeMoO6 (1273K),0.44,nan T,,106,360
Ba1.9La0.1FeMoO6 (1373K),0.42,nan T,,106,361
Ba1.9La0.1FeMoO6 (1473K),0.46,nan T,,106,362
Sr1.8Ba0.2FeMoO6,0.405,1.5 T,386,107,6121
Sr1.9Ba0.1FeMoO6,0.399,1.5 T,388,107,6125
Sr2FeMoO6,0.413,1.5 T,391,107,6140
La0.65Sr0.35Cu0.1Mn0.9O3,,nan T,355,108,2959
La0.8Sr0.2Mn1-xCoxO3 (x=0),-2.28,7 T,,113,3728
La0.8Sr0.2Mn1-xCoxO3 (x=0.2),-2.36,7 T,,113,3729
Dy(Co1-xSix)(2) x=0,5.8,1 T,168,114,661
Dy(Co1-xSix)(2) x=0.01,4.1,1 T,153,114,662
Dy(Co1-xSix)(2) x=0.03,3.3,1 T,151,114,663
Dy(Co1-xSix)(2) x=0.05,3.3,1 T,145,114,664
Dy(Co1-xSix)(2) x=0.07,2.6,1 T,142,114,665
NiMn-based alloys,4.1,0-0.9 T,,117,5618
NiMn-based alloys,-18,0-5 T,,117,5619
La0.75Ca0.25MnO3,3.47,5 T,,118,3224
Gd60Co26Al14 BMG,10.1,nan T,,119,1979
La0.55Ce0.2Ca0.25MnO3,3.31 (at 1.5T)and 6.40 (at 4T),"1.5T, 4T T",,120,2757
La0.75Ce0.0Ca0.25MnO3,,nan T,255,120,3230
La0.75Ce0.3Ca0.25MnO3,,nan T,150,120,3232
Cr11Ge19,,nan T,71.3 +/- 0.2,122,585
DyCo2,2.3,0.4 T,142,124,784
DyCo2,4.8,0.8 T,142,124,785
DyCo2,5.8,1.0 T,142,124,786
Nd0.6Sr0.3K0.1MnO3,3.06,5 T,,127,4832
Yi1.7Er0.3Fe17,2.1,0-1.5 T,308,128,6465
Y2Fe17 polycrystalline ribbons,2.4 - 4.4,2(5) T,,129,6429
Fe76Mo10Cu1B13,0.88,nan T,,131,1344
DyHoCo medium entropy microwires,11.2,5 T,35,132,833
La(Fe0.94Co0.06)(11.4)Si-1.6,11.6,7 T,280,133,2637
La(Fe0.98Co0.02)(11.4)Si-1.6,23.2,7 T,226,133,2650
PrzLa1-z(Fe1-yCoy)(11.8)Si-1.2,13.6-15.7,nan T,,134,5996
La0.7Ca0.3Mn0.9Zn0.1O3,1.1,10 kOe,206.75,136,3357
La0.7Ca0.3Mn0.9Zn0.1O3,1.7,20 kOe,206.75,136,3358
La0.7Ca0.3Mn0.9Zn0.1O3,2.7,35 kOe,206.75,136,3359
Gd0.2Ho0.8Ni,8.2,,46-99,137,1607
Gd0.6Ho0.4Ni,,,46-99,137,1632
Gd0.8Ho0.2Ni,8.2,,46-99,137,1644
La0.8Ba0.1Ca0.1Mn0.97Fe0.03O3,4.28,5 T,,138,3601
La0.45Nd0.25(Ca Sr)(0.3)MnO3,-1.47,nan kOe,,139,2720
La0.55Nd0.15(Ca Sr)(0.3)MnO3,-1.89,9.0 kOe,,139,2758
Gd34Ni33Al33,11.06,5 T,,140,1773
Pr0.5Sr0.5MnO3,4.8,8 T,,144,5746
Mn(50)Ni(40)Sn(8)Al(2),3.14,0-10 kOe,,145,4256
Ni46Mn43In11 Co-doped,16.4,50 kOe,,148,5339
[Gd(glu)(ox)(0.5)(H2O)(2)](infinity) (3),39.15,7 T,,152,6531
{[Gd-2(fum)(3)(H2O)(4)]center dot 2H(2)O}(infinity) (2),37.97,7 T,,152,6603
{[Gd-2(suc)(3)(H2O)(2)]center dot H2O}(infinity) (1),42.22,7 T,,152,6604
Tm60Co20Ni20 ribbon,17.1,0-5 T,6.7,153,6376
(Ce0.65Pr0.35)(2)Co-7,0.67,50 kOe,222,154,31
(La0.5Ce0.5)(2)Co-7,0.52,50 kOe,258,154,132
Ni43Mn46Sn11C0,27.4,5.0 T,,155,5231
Ni43Mn46Sn11C2,34.6,5.0 T,,155,5232
La0.725Eu0.075Sr0.2MnO3,3.94,,271,156,3203
La0.8Sr0.2MnO3,2.76,,287,156,3730
Fe70Mn10Mo5B15,,,298 (as-quenched) 268 (after annealing at T-a1) 282 (after accumulative heat treatment at T-a1 and T-a2),158,1320
HoErCo MEA,15,5.0 T,16,161,2472
Mn45Ti3Ni42Sn10,15.1,30 kOe,303,163,4534
Mn46Ti2Ni42Sn10,36.8,30 kOe,330,163,4536
Mn47Ti1Ni42Sn10,26.6,30 kOe,348,163,4541
[Gd-2(omba)(6)(phen)(2)].2H(2)O,17.1,7 T,,164,6539
[Gd-3(Hsa)(5)(sa)(2)(phen)(3)],22.5,7 T,,164,6541
Lao(0.67)Sr(0.33)Mn(0.9)Cr(0.1)O(3) ceramic,5.8,6 T,328,165,4181
Cr4PtGa17,,5 T,58,167,590
Cr4PtGa17,,5 T,58,167,591
Ni37.5Co12.5Mn35Ti15,8.9 to 24.1,0.01 to 5 T,,168,5135
La0.7Sr0.3Mn0.96Cu0.04O3,,nan T,356,169,3479
La0.7Sr0.3Mn0.98Cu0.02O3,,nan T,360,169,3481
Dy-based BMG,,,18.5,170,675
Mn1.1Fe0.9P0.70Ge0.30,,,Strongly increases,171,4397
Mn1.1Fe0.9P0.74Ge0.26,,,Strongly increases,171,4398
Ni41Co9Mn40Sn10 alloy,31.9,5 T,,173,5170
LaFe13-2.4Si0.6,5.85,5 T,263,174,4125
LaFe13-2.6Si0.4,5.9,5 T,243,174,4126
LaFe13-2.8Si0.2,3.7,5 T,223,174,4127
La0.65Sr0.35MnO3,,0-10 kOe,>300,176,2960
La0.6Sr0.2Ba0.2MnO3,2.26,0-10 kOe,354,176,3170
La0.6Sr0.2Ca0.2MnO3,,0-10 kOe,>300,176,3174
La0.7Ba0.24Ca0.06MnO3,,0-10 kOe,>300,176,3265
La0.7Ba0.3MnO3,,0-10 kOe,>300,176,3280
La0.6Sr0.4Mn0.8Fe0.1Cr0.1O3 ceramics,0.431 - 1.75,1 - 5 T,,177,3180
La0.40Nd0.30Sr0.30Mn0.70Cr0.30O3,,nan T,191,182,2718
NdFe12B6,8.4,10 kOe,218,185,4927
NdFe12B6,5.4,7 kOe,218,185,4928
La0.75Ca0.25MnO3,4.7,1.5 T,,186,3225
Gd5Si2Ge2 (as-cast),-15.9,nan T,,187,1958
Gd5Si2Ge2 (heat-treated),-18.7,nan T,,187,1959
CoS1.8Se0.2,-5.1,6 T,,188,570
GdFeAl,3.7,nan T,265,191,2147
Ni41Co6.5Fe2.5Mn40Sn10,11.8 (2 T) / 16.8 (5 T),2 T / 5 T T,,193,5162
Ni41Co7Fe2Mn40Sn10,18.9 (2 T) / 22.4 (5 T),2 T / 5 T T,,193,5165
Ba2-xLaxFeMoO6 (x = 0.2),0.38,7 kOe,,194,366
Ba2-xLaxFeMoO6 (x = 0.2),2.93,15 kOe,,194,367
La0.67Ca0.33MnO3,6,5 T,,198,3032
Gd0.8La0.2Ni5,5.5,7 T,9,201,1645
GdNi5,12.8,7 T,35,201,2198
Mn5Ge2.1Ga0.9,,,274,203,4606
Mn5Ge2.9Ga0.1,,,306,203,4615
Fe nanoclusters in Ni61Cu39 matrix,0.05,1 T,180,204,1169
Fe nanoclusters in Ni61Cu39 matrix,0.3,7 T,180,204,1170
Nd2/3Sr1/3MnO3,3.25,1-5 T,257.5,205,4853
Gd60-Ho10Fe20Al20,5.44 - 8.01,0 - 5 T,165 - 65,206,1970
Gd60-Ho30Fe20Al20,5.44 - 8.01,0 - 5 T,165 - 65,206,1971
Ni50Mn18.5Ga25Cu6.5 alloy,-1.05(J/mol K),nan T,,207,5451
Gd50Co45Mn5,,,245,210,1842
Gd50Co48Fe2,,,260,210,1843
Gd50Co50,,,278,210,1846
Fe3Se4 nanorods,-0.046,60 kOe,323,211,1251
La0.67Sr0.33MnO3,,,383,214,3079
LaFe11.5Si1.5Hy,16.8-20.5,0-5 T,195-340,215,4038
Eu0.55Sr0.45MnO3,8,0-5 T,,217,1073
La0.27Nd0.40Ca0.33MnO3,4.2,0-5 T,,217,2704
(La0.56Ce0.14)Sra(0).30MnO3,1.68 (at 1T) and 5.04 (at 5T),1 and 5 T,,220,130
La0.7Ca0.3-0.05K0.05MnO3,3.95,2 T,,221,3326
La0.7Ca0.3-0.10K0.10MnO3,3.49,2 T,,221,3329
La0.825Eu0.075Sr0.1MnO3,3.03,7 T,135,224,3564
La0.9Sr0.1MnO3,2.76,7 T,118,224,3782
PrFe12.3B4.7,"11.7, 16.2","0-2, 0-5 T",,227,5972
PrFe12B6,>11.7,0-5 T,200,227,5973
Er2-xCexFe17,,2 or 5 T,Room temperature,229,904
EuTiO3,49,7 T,5.6,230,1163
Ho3Ni6Al2,19.7,0-5 T,,231,2379
La0.7Ba0.3Mn1-xFexO3,0.36-1.14,,,232,3278
Co@Au nanoparticles,3.11,9 T,,233,538
Fe1.5Mn0.5Y,1.17,5 T,195.3,234,1217
Fe1.6Mn0.4Y,1.27,5 T,234.7,234,1218
Fe1.8Mn0.2Y,1.65,5 T,288.4,234,1219
Ni40.6Co8.5Mn40.9Sn10,9.7 (2 T)or 16.0 (5 T),2 or 5 T,,236,5146
Fe3(1-x)Cr3xC(x=0.5),0.9/3.6,0-1/0-5 T,,237,1240
Ni50Mn34In16,-6.8,5 T,318,239,5488
Ni37.7Co12.7Mn40.8Sn8.8 Ribbon,15,15 kOe,,241,5138
LaFe11.5Si1.5C0,24.6,0-5 T,195,243,4029
LaFe11.5Si1.5C0.2,22.8,0-5 T,225,243,4033
LaFe11.5Si1.5C0.5,12.7,0-5 T,241,243,4036
Ni2Mn0.75Cu0.25Ga,15.2,2.0 T,,244,5085
Ni2MnGa0.88Cu0.12,7.5,2.0 T,,244,5101
La0.7Sr0.3Mn0.9Cr0.1O3,1.16,1 T,,247,3485
La0.54Ca0.32MnO3-delta,2.9,0.9 T,272,249,2750
La0.70Ca0.21Ag0.09MnO3,4.8,1 T,263,251,3199
DyCoAl,-18,9 T,37,253,805
CoMn0.915Fe0.085Ge,-32.8,7 T,317,255,557
Ni50.1Mn20.7Ga29.6 alloy,6,0.8 T,219,258,5431
Gd(95)Pe(2.8)Al(2.2),7.8,5 T,,259,1538
Fe84Mn6Zr10,2.29,nan T,218,260,1389
Fe86Mn4Zr10,2.51,nan T,232,260,1399
Fe90Mn0Zr10,2.96,nan T,243,260,1438
DyVO4,25.5,5 T,3.9,263,881
Y2NiMnO6,-6.57,nan kOe,85,264,6431
PrSi,-8.6,0-2 T,52,265,5985
PrSi,-15.3,0-5 T,52,265,5986
CeMn2(Si0.4Ge0.6)2,,nan T,300,267,461
Cd0.7Fe0.3Cr2S4,5.4,5 T,119,268,417
Cd0.8Cu0.2Cr2S4,5.1,5 T,86,268,418
LaFe(11.83)Si(1.17),20,,174.8,272,3912
La0.7Ca0.3MnO3,5.04 - 6.25,0.5 - 1.0 T,,273,3372
LaMnO3,0.8（J/mol K）,nan T,,275,4164
LaMnO3,1.8(J/mol K),nan T,,275,4165
LaMnO3,5.7(J/mol K),nan T,,275,4166
HoPd,20,0-5 T,,278,2536
DyCuSi,24,nan T,10,280,821
Pr0.7Sr0.3MnO3,6.3,50 kOe,,281,5875
Pure Gd,,,295 (1),282,5997
(Gd1-0.05Ho0.05)(5)Si4,2.35,1.4 T,,283,90
(Gd1-0.15Ho0.15)(5)Si4,2.35,1.4 T,,283,91
(Gd1-0.25Ho0.25)(5)Si4,2.35,1.4 T,,283,92
(Gd1-0Ho0)(5)Si4,2.35,1.4 T,,283,93
Mn1.1Fe0.9P0.7As0.3,,nan T,150,284,4405
Mn1.1Fe0.9P0.7Ge0.3,40,3.0 T,380,284,4406
Nd0.47Sr0.53MnO3,11.0 (along the ab-plane) and 11.5 (along the c-axis),20 kOe,,285,4796
La0.75Bi0.1Na0.15MnO3,4.4,1.5 T,275,286,3212
Ni-Mn-In-Co alloy,37.1,,,287,5017
Nd2Fe17,,,330,290,4858
Pr2Fe17,,,285,290,5920
LaFe10.6Si2.4,3.2,2 T,242,291,3924
HoZn,15.2,7 T,,293,2544
(Pr1-xNdx)(0.5)Sr0.5MnO3 (x=0),6.5-8,10 kOe,,295,248
(Pr1-xNdx)(0.5)Sr0.5MnO3 (x=0.3),6.5-8,10 kOe,,295,249
(Pr1-xNdx)(0.5)Sr0.5MnO3 (x=0.5),6.5-8,10 kOe,,295,250
(Pr1-xNdx)(0.5)Sr0.5MnO3 (x=0.7),6.5-8,10 kOe,,295,251
(Pr1-xNdx)(0.5)Sr0.5MnO3 (x=1),6.5-8,10 kOe,,295,252
Ni43Mn46Sn11 (ribbon),41.4,0-5 T,,297,5226
Mn1.1Fe0.9P0.76Ge0.24,35.4,5 T,,299,4401
La0.7Sr0.3Mn0.98Ni0.02O3,3.54,13.5 kOe,,301,3482
SmNiC2,14.1,nan T,17.5,302,6108
VI3,0.95,4.5 T,,304,6419
GdFeO3,50.2,nan kOe,,305,2150
Gd19Tb19Er18Fe19Al25,5.94,5 T,97,306,1687
Dy2CuAl3,6.68,0-5 T,,307,718
Tm2CuAl3,11.33,0-5 T,,307,6363
La0.67Sr0.16Ca0.17MnO3,5.51,5 T,336,308,3054
SmMn2Ge2 (T-1 = 112K),-3.7,5 kOe,,309,6086
SmMn2Ge2 (T-2 = 152K),3.3,5 kOe,,309,6087
Ni2.19Mn0.81Ga,-66.2,5 T,,313,5067
Mn3GaC,,nan T,159,315,4494
Eu0.55Sr0.45MnO3,7,0-5 T,,316,1074
La0.7Sr0.3Mn0.8Al0.2,,6 T,~300,317,3466
La0.7Sr0.3Mn0.8Ti0.2,,6 T,~300,317,3469
Pr0.05Ca0.95MnO3,,,125,320,5664
Pr0.7Ca0.3MnO3,,,198,320,5869
Pr0.8Ca0.2MnO3,,,248,320,5883
Gd5Si1.75Ge1.75Sn0.5,16.7,0-1.8 T,269,322,1921
HoFeO3 single crystal,27 (at 9.5 K) and 6 (at T-SR),nan T,,323,2483
La0.8Na0.1Mn0.9Fe0.1O3,Decreased,,Decreased,324,3692
La0.8Na0.2MnO3,4.88,,330,324,3706
La0.9Na0.1MnO3,2.88,,265,324,3772
LaMnO3,,,95,324,4167
Ni44Mn43Co2Sn11,11.3,1.8 T,,325,5257
Ni44Mn43Cu2Sn11,18.8,1.8 T,,325,5258
Ni46Mn43Sn11,7.9,1.8 T,,325,5340
Ni45Mn43CrSn11,23.4,,,326,5304
La(Fe0.99Mn0.01)(11.5)Si1.5H1.61,-11.5,2 T,,327,2654
LaFe11.2Co0.7Si1.1,20.3,5 T,274,328,3949
Ho4CoCd,18.1,nan kOe,22,330,2385
Tm4CoCd,19.2,nan kOe,4.5,330,6369
Gd62Co38,-2.8,10 kOe,193,332,1997
Gd65Co35,-2.9,10 kOe,185,332,2000
Gd68Co32,-3,10 kOe,175,332,2020
Gd71Co29,-3.1,10 kOe,166,332,2048
Ni52.6Mn23.1Ga24.3,18,5 T,300,333,5556
La0.67Ra0.33Mn0.98Ti0.02O3,,nan T,310.47 K +/- 0.10,334,3049
La(Fe0.97Mn0.03)11.7Si1.3,17.1,5 T,127,335,2649
La(Fe0.98Mn0.02)11.7Si1.3,20.8,5 T,150,335,2653
La(Fe0.99Mn0.01)11.7Si1.3,25.7,5 T,170,335,2656
LaFe11.7Si1.3,26,5 T,188,335,4087
Fe57Cr17CU1Nb3Si13B9,0.6,3 T,,336,1273
Fe60Cr14Cu1Nb3Si13B9,0.9,3 T,,336,1277
Nd0.2La0.8Fe11.5Al1.5,9,nan T,159,337,4795
La0.822Ca0.096K0.043Mn0.974O3.00,6.8,1.5 T,,341,3563
La0.837Ca0.098Na0.038Mn0.987O3.00,8.3,1.5 T,,341,3567
LaFe11.57Si1.43 Bulk alloy,21.1,nan T,192,344,3992
LaFe11.57Si1.43 Melt-spun ribbon (20m/s),21.2,nan T,198,344,3993
LaFe11.57Si1.43 Melt-spun ribbon (40m/s),17.8,nan T,210,344,3994
Mn20Cr14Ni33Ge25Si8,,nan T,361,350,4463
Mn24Cr10Ni33Ge25Si8,3.6,nan T,387,350,4464
Ni50Mn33Cu2Sn15,13.5,5.0 T,,351,5474
Mn3Sn0.8Co0.2C1.1,103,,,353,4508
Gd2O3,29,5 T,,355,1752
MnFeP1-xAsx,,,168-332,358,4725
LaFe11.5Al1.5-C0.1,,,191,363,3995
LaFe11.5Al1.5-C0.5,,,262,363,3996
TbAl2,14.3,5 T,105,364,6269
Amorphous Tb0.67Au0.33 ,1.38,nan kOe,130,365,332
Crystalline Tb0.67Au0.33,2.03,nan kOe,42,365,614
Fe0.65Mn1.35P0.4Si0.6,,0-1.48 T,266-321,366,1200
Fe0.75Mn1.25P0.4Si0.6,7.2,0-1.5 T,266-321,366,1211
Fe0.7Mn1.3P0.4Si0.6,,0-1.48 T,266-321,366,1215
Dy3Fe5O12,3.51,,,369,754
Gd3Fe5O12,3.4,,287,369,1792
MnFeP0.5As0.3Si0.2,32,2 T,,370,4715
[Gd-2(Hnsa)(2)(nsa)(2)(phen)(2)(H2O)(2)],22.2,7 T,,372,6535
[Gd-2(dnba)(6)(phen)(2)],16.8,7 T,,372,6536
La(Fe Ni)(11.5)Si1.5,20.87,5 T,,374,2609
La0.5Pr0.5(Fe0.88Si0.12)(13),,nan T,185,378,2821
La0.5Pr0.5(Fe0.88Si0.12)(13)H-1.6,-26,5.0 T,324,378,2822
Ni45.4Mn41.5In13.1,8,10 kOe,,379,5264
TbMn2Si2,16,0-5 T,Tc1 = 50; Tc2 = 64,381,6308
Mn50Ni40In9Sb1,27.1,30 kOe,,383,4587
Ni54Mn17V4Ga25,1.81,2.0 T,265,384,5579
Ni54Mn19V2Ga25,1.92,2.0 T,300,384,5582
Ni54Mn21V0Ga25,2.49,2.0 T,325,384,5583
Ni45Mn44Sn11,7.2,5 T,,390,5311
La2Fe11Si2,14.5,2 T,,391,3888
SnCMn3,80.69(J/cm^3 K) (at 20 kOe),20 kOe,279,393,6111
SnCMn3,133(J/cm^3 K) (at 48 kOe),48 kOe,279,393,6112
La0.7Ca0.3MnO3,5.27,1.5 T,251,397,3376
LaMn2Ge2,1.42,,320,398,4156
Nd2In,7.42,2 T,,400,4866
(Mn0.5Co0.5)(65)Ge-35 (Annealed),,,298,401,191
(Mn0.5Co0.5)(65)Ge-35 (Water-quenched),,,275,401,192
La(0.57)Nd(0.1)Sr(0.0)Ca(0.3)MnO3,5.85,2 T,,402,2587
Pr0.8Dy0.2Ni2,19.4,,,403,5884
Gd-Tb-Nd,,,Near room temperature,408,1592
Crystalline GdCuAl,10.1,0-5 T,81,410,612
MnCoAl,3.73,5 T,285,411,4673
MnCoGe,4.41,5 T,340,411,4676
Ni2Mn0.75Cu0.25-xCoxGa (x=0.0),-48 to -64,Up to 5 T,308 to 345,412,5084
La0.57Nd0.1Sr0.18MnO3 (x=0.15),4.36,nan T,315,414,2770
La0.57Nd0.1Sr0.23MnO3 (x=0.1),4.42,nan T,339,414,2771
Ho3Al2,18.7,0-5 T,31-40,416,2371
Ni67Cu33,-0.15,1 T,,419,5605
Ni67Cu33,-0.72,7 T,,419,5606
La2NiMnO6,5,nan kOe,,420,3891
La(Fe0.92Co0.08)11.83Al1.17,,,303,421,2635
La(Fe0.94Co0.06)11.83Al1.17,,,273,421,2640
Gd3Ru0.85Co0.15,19.4,50 kOe,73,422,1807
Gd3Ru0.90Co0.10,23.1,50 kOe,85,422,1808
Gd3Ru0.95Co0.05,25.8,50 kOe,92,422,1809
Mn42Al38Fe20,2.4,0-5 T,370,423,4529
Mn42Al40Fe18,2.52,0-5 T,341,423,4530
Mn42Al42Fe16,2.48,0-5 T,270,423,4531
La0.65Nd0.05Ca0.3MnO3,-1.68,10.0 kOe,Peak value,425,2951
NdMn1.7Cr0.3Si2,15.9,5 T,,426,4939
Pr0.6Sr0.4Mn0.9Fe0.1O3,3.66,5 T,,427,5823
Pr0.6Sr0.4MnO3,3.58,5 T,,427,5825
Hf0.835Ta0.165Fe,18,10 kOe,,428,2262
Hf0.83Ta0.17Fe,18,10 kOe,,428,2264
Hf0.84Ta0.16Fe,18,10 kOe,,428,2265
Gd5Si0.4In3.6,,nan T,197,437,1919
LaFe11.5Al1.5H0.6,4.9,0-2 T,295,438,4005
LaFe11.5Al1.5H1.3,6.7,0-2 T,295,438,4007
Cr2Ge2Te6,2.64,5 T,,439,586
Cr2Si2Te6,5.05,5 T,,439,589
Ni51Mn31.8In16,33,5.0 T,308,441,5549
Ni51Mn32In16,20,5.0 T,262,441,5550
GdRuSi,10.7,nan kOe,,445,2218
La0.65Ca0.30Pb0.05Co0.1MnO3,2.1,1 T,,451,2908
La0.65Ca0.30Pb0.05Cu0.1MnO3,3.2,1 T,,451,2909
La0.65Ca0.30Pb0.05Ni0.1MnO3,1.71,1 T,,451,2912
La0.65Ca0.30Pb0.05Zn0.1MnO3,1.42,1 T,,451,2913
